Завершил,Начал,Носитель,Формат,Тематика,Название,Автор,Оригинал,Оценка,Длина,Год,Рецензия,Ссылка,Язык,Теги
21.12.2014,01.12.2014,Цифр. книга,Книга,Веб-разработка,JavaScript. Оптимизация производительности,Николас Закас,High Performance: JavaScript,5,256 стр.,2012,,,Русский,"Программирование, Веб-разработка, JavaScript, Производительность"
02.12.2014,29.11.2014,Цифр. книга,Книга,Веб-разработка,Совершенный код,Стив Макконнелл,,5,896 стр.,2007,"Комплексная книга, разбираются темы начиная от организации процесса и заканчивая тестированием. Из минусов - книга про серьезное ПО, но практически все можно применить в пограммировании любого уровня",,Русский,"Программирование, Управление, ООП"
26.11.2014,25.11.2014,Цифр. книга,Книга,Саморазвитие,Не набрасывайтесь на мармелад,Хоаким де Посада,,3,112 стр.,2011,Скучная и водянистая,,Русский,"Саморазвитие, Успех, Мармелад"
25.11.2014,24.11.2014,Цифр. книга,Книга,Психология,"Сказать жизни ""Да!"". Психолог в концлагере",Виктор Франкл,... trotzdem Ja zum Leben sagen,5,239 стр.,1998,"Не большая, заставляет задуматься, меняет отношение к жизни.",,Русский,"Психология, Концлагерь, Свобода, Жизнь"
23.11.2014,22.11.2014,Цифр. книга,Книга,Менеджмент,"Мифический человеко-месяц, или Как создаются программные системы",Фредерик П. Брукс,,4,298 стр.,2007,"Если нужно построить процесс разработки крупного ПО, то нужно ее прочитать.",,Русский,"Программирование, Управление, Менеджмент, ПО"
23.11.2014,23.11.2014,Цифр. книга,Книга,Веб-разработка,HTML and CSS: Design and Build Websites,Jon Duckett,,5,514 стр.,2011,"Красивая, хорошо структурированная книжка для дизайнеров которые хотят научится делать сайты а не плакаты. ",,Английский,"Программирование, Веб-разработка, HTML, CSS, Проектирование"
21.11.2014,21.11.2014,Цифр. книга,Книга,Менеджмент,Балдеющие от адреналина и зомбированные шаблонами. Паттерны поведения проектных команд,"Том ДеМарко, Тимоти Листер, Стив Макменамин, Джеймс Робертсон, Сьюзан Робертсон, Питер Хрущка",Adrenaline Junkies and Template Zombies: Understanding Patterns of Project Behavior,4,288 стр.,2010,Очень ужато разбираются паттерны поведения разных команд. 80% касается корпоративной работы. Написано легко и с юморком. Есть доля полезной информации.,,Русский,"Менеджмент, Управление, ПО"
20.11.2014,20.11.2014,Цифр. книга,Книга,Веб-разработка,"CSS. 100 и 1 совет,",Рейчел Эндрю,"The CSS Anthology: 101 Essential Tips, Tricks & Hacks",3,336 стр.,2010,"Такого рода книги быстро устаревают, обучатся лучше онлайн",,Русский,"Веб-разработка, CSS, Советы"
19.11.2014,19.11.2014,Цифр. книга,Книга,Веб-разработка,CSS. Каскадные таблицы стилей. Подробное руководство,Эрик А. Мейер,Cascading Style Sheets: The Definitive Guide,3,576 стр.,2008,"Ничего нового не узнал. Книга - чистый справочник, хотя лучше использовать для этих целей онлайн ресурсы.",,Русский,"Веб-разработка, CSS, Справочник"
16.11.2014,16.11.2014,Цифр. книга,Книга,Веб-разработка,Pro CSS3 Animation,Dudley Storey,,5,178 стр.,2012,,,Английский,"Веб-разработка, CSS, Анимация"
